Campaign ID,Campaign Name
120242701732720240,CU_Mohali_Rem
120242372728180240,CU_Mohali_Int
120242025831180240,UG_Online_Admission_2026 _SF
120240869439570240,CU_Lucknow_Int
120240852820750240,CU_Lucknow_Remarketing
120240149156480240,UG_PG_Online_Admission_2026_Remarketing
120240142485000240,S6M_UG_PG_Online_Admission_2026
120239868186710240,MBA_Online_Mar_2026
120239551521610240,PG_UG_Online_G_Admission
120239176809630240,Without Target All Multi-Course Meta - SK - 16-02-2026
120239074091720240,Online MBA  All  University - SK - 13-02-2026 Without Detailed targeting
120239071595270240,BBA + BCA + MBA + MCA  All  University - SK - 13-02-2026
120239068411990240,Online MBA  All  University - SK - 13-02-2026
120239036014930240,"Traffic Ads - Degree FYD - BBA, MBA, BCA , MCA All Colleges - SK - 02-2026"
120238887857220240,Punjab_Online_Admission
120238390992900240,IGNOU_Online_Courses_Admission_DFYD
120238319730090240,DUSOL_Online_Courses_Admission_DFYD
120238040123160240,IGNOU_Leads_2026
120238008917840240,UG_Online_Admission_2026_LAL
120237643624400240,UG_C | Co4 | Lookalike
120237587465990240,LeadZam-India-Masters-05Jan2026
120237522142400240,Group_Online_Admission_2026
120237475802100240,LeadZam-India-OldCreatives-31Dec2025
120237435965940240,LeadZam-India-31Dec2025
120237347926530240,Master-North-MBA-Conditional-29Dec
120237347779600240,Master-India-MBA-Conditional-29Dec
120237347745460240,Master-North-Conditional-29Dec
120237244879750240,Master-North-Conditional-26Dec2025
120237242971350240,Master-North-MBA-Conditional-23Dec2025
120237149275710240,Master-India-MBA-Conditional-23Dec2025
120237149165140240,Master-Cluster1-MBA-Conditional-23Dec2025
120237149010690240,Master-India-Conditional-23Dec2025
120237146967120240,Master-Cluster1-Conditional-23Dec2025
120236998745700240,UG_Online_Admission_2026
120236916593200240,MNIMS  MBA
120236915550230240,LPU_University-19Dec2025
120236915408930240,Chandigarh_University-19Dec2025
120236915141150240,Shoolini_University-19Dec2025
120236914628930240,UG_C | Co4 | Lookalike old
120236795774980240,MBA_Admission_2026-Dec
120236782045660240,GLA_Online_G_17Dec25
120236379255690240,Master-Cluster1-UG&PG-10Dec2025
120236358736770240,Manipal University-10Dec2025
120236331954290240,North-UG&PG-09Dec2025
120236308189930240,Master-UG&PG-North-09Dec2025
120236292822930240,Test - North-UG&PG-08Dec2025
120236290321050240,North-UG&PG-08Dec2025
120235786246330240,Manipal University 2026
120235738726140240,Galgotias_Lead_2026
120235728271910240,MBA_Admission_2026
120235345393390240,Amity_UG_PG_Admission_2026_Session
120234501316200240,Online_MBA_6_Nov_2026
120234432566730240,Amity_LAL_2026_Session
120233970943540240,DFYD_NMIMS_Online_MBA_2026_Session
120232043651860240,LPU | MBA | LEAD | VARUN | 24 SEP
120232014735490240,Generic | MBA VIDEO | 24 SEP
120231997137690240,GLA MBA
120231978854890240,DY Patil
120231752239250240,Generic | MBA | 19 SEP | Varun
120231660332660240,LPU | Generic | Lead Gen | 17 Sep | Varun
120231606550790240,LPU | MBA | LEAD | VARUN
120231555019450240,SU | MBA | LEAD | VARUN
120231553547030240,SU Lead Gen | Testing | Varun
120231494473140240,Online UG Degree Program_Aryan_Sep
120230793849020240,Online BBA Leads Campaign - Ashish
120230584202730240,Awareness Campaign MBA 1Lakh + Interview
120230583287170240,Traffic Campaign MBA 1Lakh + Interview
120230424658800240,Galgotias Leads Camp. | 25th August 2025
120230422612340240,MBA Leads campaign | 25th August 2025
120230310541290240,MBA Leads campaign | 23rd August 2025
120230309782710240,Galgotias Leads Camp. | 23rd August 2025
120230306035470240,DU SOL | MBA Leads Camp. | 22nd August 2025
120230299767720240,MBA Leads campaign | 22nd August 2025
120230243208900240,Amity_Online_LAL_21st_Aug_2025
120230183579670240,Amity | MBA Leads campaign | 20th August 2025
120230183071530240,Amity | BCA Leads Camp. | 20th August 2025
120230181602130240,SMU Leads Camp. | 20th August 2025
120230095238410240,Galgotias Leads campaign | 19th August 2025
120230092978130240,NMIMS Leads campaign - 19th August 2025
120229728617010240,VGU BCA Camp. | 12th Aug. 2025
120229727564170240,VGU Leads Camp. | 12th Aug. 2025
120229726794050240,LPU (M.Sc. Math) Leads Camp. | 12th Aug. 2025
120229725110450240,Galgotias Leads Camp. | 12th Aug. 2025
120229720091220240,NMIMS Leads Camp. | 11th August 2025
120229437840720240,VGU Leads Camp. | 4th Aug. 2025
120229187846550240,DY Patil Leads Camp. | 1st Aug. 2025
120228940882480240,NMIMS Leads campaign - 29th July 2025
120228831728750240,NMIMS Leads Camp. | 28th July 2025
120228831191420240,LPU Leads Camp. | 28th July 2025
120228798495770240,Amity Leads Camp. | 27' July 2025
120228797056550240,Shoolini Leads Camp. | 27' July 2025
120228708188550240,CU Leads Camp. | 26' July 2025
120228707543110240,NMIMS Leads campaign - 26' July 2025
120228681745080240,MBA Leads Camp. | 25th July 2025
120228611116130240,VGU Leads Camp. | 24' July 2025
120228610029440240,NMIMS Leads Camp. | 24'July 2025
120228301957800240,M.Sc. Leads Camp. | 19th July 2025
120228198681010240,LPU (M.Sc. Math) Leads Camp. | 16th July 2025
120228018541700240,IIM - MBA Leads Camp. - 12th July 2025
120227927109750240,Mangalayatan Leads campaign - 10th July 2025
120227834786680240,NMIMS Leads Camp. | July 2025
120227832688030240,Sharda Leads Campaign  | 8th July 2025
120227660520120240,Sharda Leads  - 4th July 2025
120227095815930240,KUK Leads Camp. | 24th June 2025
120227012758650240,Lovely_prof._University_23June2025
120226932935190240,Lovely_prof._University_22June2025
120226931830530240,MBA_Campaign_June2025
120226929143780240,Amity | Leads Camp. | 22nd June 2025
120226789122560240,Chitkara Leads Camp. | 19th June 2025
120226693692200240,LPU_June_LP
120226630028670240,NMIMS Leads campaign - 18th June 2025
120226553226690240,IU Leads Campaign - 17th June 2025
120226551682670240,Galgotias Leads Camp. | 16th June 2025
120226543301710240,LPU Campaign - June_16
120226473054730240,Amity | Leads Camp. | 15th June 2025
120226467962750240,WABA_Manipal_University
120226449981360240,Amity Awareness Camp. | 15th June 2025
120226407146330240,WA Camp. | All Courses | 14th June 2025
120225766229210240,MCA Campaign June 2025
120225476710170240,CU Campaign - June
120225418558470240,Amity University MA psychology Campaign - June
120225417825490240,LPU Campaign - June
120225348894400240,Amity University Campaign - June
120225032224070240,Manipal University Campaign
120225023081420240,MBA_Campaign_May2025 - With OTP
120224720546110240,BA_Campaign_May2025
120224542110420240,B.com_Campaign_May2025
120224452229100240,BBA_Campaign_May2025
120224401379220240,MCA_Campaign_May2025
120224397189900240,BCA_Campaign_May2025
120224306563290240,MBA_Campaign_May2025
120222395331650240,DegreeFYD_Traffic_UG_ExamAspirant_290425
120222291469580240,DegreeFYD_MBA_Campaign
120221957286910240,DegreeFYD_LeadGen_VGUonline_240425
120221891021580240,DegreeFYD_LeadGen_JainUniversity_230425
120221798921610240,DegreeFYD_Leadgen_WorkingProfessional_220425_GeneralOldCreatives
120221725036370240,DegreeFYD_LeadGen_LPU_OlderCreatives_CSC
120221717153600240,DegreeFYD_LeadGen_Amity_210425
120221709146390240,DegreeFYD_UG_LeadGen_GenralTheme
120219772831510240,DegreeFYD_LPU_LeadGen_070425_RemAmityLeads
120219329725710240,DegreeFYD_LPU_AWR_RemarketingSearch
120219149256640240,Amity_LeadGen_04Apr2025
120218175550550240,FacebookPost_Campaign_DO_NOT_TAKE_THIS_LIVE
120217928558630240,DegreeFyd_Manipal_LeadGen_190325
120217918929030240,DegreeFyd_LPU_LeadGen_190325
120217843465140240,Amity_Leadgen_17Mar2025_NorthMarket_leadform
120217303721400240,LPU Lookalike _East_West
120217303603560240,LPU_Online_New – Lookalike 1% Online Leads – North – Copy
120217276926520240,LPU_Online_New – Lookalike 1% Online Leads – North
120217084632100240,LPU_Online_New – Lookalike 1% Online Leads - West
120216847843350240,Online_MBA_Program
120215842454220240,LPU_Online_New
120215752565450240,Amity_Online_New
120215639099880240,Amity_Online_LP
120215621440240240,LPU Online
120215550487050240,Amity_University_Online
120215502470890240,DFYD_Online_MBA_Admissions_Longform
120215290518230240,Webinar_2
120215290423210240,DFYD_Online_MBA_Admissions1
120215258385830240,Webinar_1
120215239574460240,DFYD_Online_MBA_Admissions
120242701732750240,CU_Mohali_Rem_ADG1_Ad02
120242701732740240,CU_Mohali_Rem_ADG1_Ad01
120242372728170240,CU_Mohali_Int_ADG1_Ad01
120242372728160240,CU_Mohali_Int_ADG1_Ad02
120242025831190240,UG_Online_Admission_SF_Ad_Set01_Ad01
120242026877860240,UG_Online_Admission_SF_Ad_Set01_Ad02
120236998745840240,UG_Online_Admission_Ad_Set01_Ad02
120240855626530240,CU_Lucknow_Rem_Ad02
120240852820770240,CU_Lucknow_Rem_Ad01
120240869439580240,CU_Lucknow_Int_ADG1_Ad02
120240869439590240,CU_Lucknow_Int_ADG1_Ad01
120238040123200240,IGNOU_MBA_2026_Int_Ad01
120240142485020240,S6M_UG_PG_Online_Admission_2026_Ad_Set01_InstAd01
120240149156490240,UG_PG_Online_Admission_2026_Ad_Set01_InstAd01_Remarketing
120239868186720240,MBA_Online_Mar_2026_AdG1_Ad1
120239874993280240,MBA_Online_Mar_2026_AdG1_Ad2LB
120235738726290240,Galgotias_Leads_2026_P_Ad_01
120239551521590240,PG_UG_Online_G_Admission_AD_Set1_Core
120239551521620240,PG_UG_Online_G_Admission_AD_Set1_AI
120239176809650240,MCA Course Meta - SK - 16-02-2026
120239176809660240,B.Com Course Meta - SK - 16-02-2026
120239176809670240,BCA Course Meta - SK - 16-02-2026
120239176809620240,BA Course Meta - SK - 16-02-2026
120239176809680240,BBA Course Meta - SK - 16-02-2026
120239176809610240,MBA Course Meta - SK - 16-02-2026
120239071595280240,BBA + BCA + MBA + MCA  All  University - SK - 13-02-2026
120239074091730240,Online MBA  All  University - SK - 13-02-2026 Without Detailed targeting
120239068411970240,Online MBA  All  University - SK - 13-02-2026
120238319730110240,DUSOL_Online_Courses_Admission_DFYD_Delhi_NCR_Ad01
120238391040020240,IGNOU_Online_Courses_Admission_DFYD_Rest_Ad01
120238887857250240,Punjab_Online_Admission_Inst_UG_P
120236998745850240,UG_Online_Admission_Ad_Set01_Ad01
120238008917850240,UG_Online_Admission_Conv_UG_LAL_Ad01
120238008917860240,UG_Online_Admission_Conv_UG_LAL_Ad02
120236620953150240,Galgotias_Leads_2026_P_Ad_01-AI
120238390992910240,IGNOU_Online_Courses_Admission_DFYD_Delhi_NCR_Ad01
120237149275730240,MBA_Admission_2026_Video-India_23Dec-Conditional-C1
120237149275760240,MBA_Admission_2026_Static-102-India_23Dec-Condtional
120237242971390240,Online-Degree-India_23Dec-Conditional
120228301000900240,IGNOU MBA -  18th August
120237694845840240,GLA_University_G-NorthCityOnly-LeadZam
120237694845830240,UG_Online_Admission_NorthCityOnly-LeadZam
120237694953130240,202-UG-Video-16DecDFYD-UGC-NorthCityOnly-LeadZam
120237694953140240,201.1-UG-Video-16Dec-UGC-DFYD-NorthCityOnly-LeadZam
120237588326070240,Resume-MBA-5Jan-LeadZam
120237693824750240,UG_Online_Admission_DelhiNCR-LeadZam
120237693824740240,GLA_University_G-India_DelhiNCR-LeadZam
120237644880600240,UG_C | Co4 | Lookalike old
120237242971360240,GLA_University_G-India_23Dec-Conditional-North
120237536214510240,Group_Online_Admission_2026_Carousel_01_Fee_Breakup
120237493810020240,GLA_University_G-India_LeadZam
120237149275800240,GLA_University_G-India_23Dec-Conditional
120236508769310240,MBA_Admission_2026_Static-102-Winning
120237645473710240,UG_C | Co4 | Lookalike - Copy 2
120237645457930240,UG_C | Co4 | Lookalike - Copy
120237645410510240,UG_C | Co4 | Lookalike
120228403890560240,IGNOU - 22nd July
120236914628940240,UG_C | Co4 | Lookalike
120237244879790240,C04-India_23Dec-Conditional-C1-AI
120237244879760240,201-UG-Video-16Dec-UGC-DFYD-India_23Dec-Conditional
120237535504910240,Group_Online_Admission_2026_Carousel_01_Summary
120236736086900240,202-UG-Video-16DecDFYD-UGC-Winning
120237498394160240,UG_C | FEW SEAT | Lookalike
120237436611840240,201.1-UG-Video-16Dec-UGC-DFYD-Conditional
120237244879770240,202-UG-Video-16DecDFYD-UGC-India_23Dec-Conditional
120237498157660240,UG_C | CITY | Lookalike
120237498407260240,UG_C | study night | Lookalike
120236620748690240,107-PG-DFYD-Winning
120236508769300240,MBA_Admission_2026_Static-101-Winning
120236713936400240,108-UG-Video-16DecDFYD-Winning
120236308348860240,Amity_UG_PG_Admission_2026-Winning-AI
120236620660800240,108-PG-DFYD-Winning
120236308332410240,C04-Winning
120236359711130240,C04-Winning-AI
120236308332400240,C03-Winning
120236308295450240,Galgotias_Leads_2026_P_Ad_01_Winning
120236308332390240,MBA_Admission_2026_Video-Winning
120236308189950240,101-UGPG-GetDegreeThatStandsOut-Blue-DFYD-Winning
120237635420460240,Masters-302.1-24Dec25-LeadZam
120237588283670240,Leadership-MBA-5Jan-LeadZam
120237587466000240,MBA_Admission_2026_Static-102-LeadZam
120237588359750240,Salary-MBA-5Jan-LeadZam
120237477521860240,Masters-JobReady-29Dec-LeadZam
120237587516780240,MBA_Admission_2026_Static-102-LeadZam – Copy
120237587466050240,Masters-JobReady-29Dec-LeadZam
120237477521880240,Masters-302-24Dec25-LeadZam
120237587466040240,Masters-302-24Dec25-LeadZam
120237522142410240,Group_Online_Admission_2026_Dynamic_01_Summary
120237476570190240,UG_Online_Admission_LeadZam
120237477521870240,MBA_Admission_2026_Static-102-LeadZam
120237475824450240,202-UG-Video-16DecDFYD-UGC-LeadZam
120237435965950240,201.1-UG-Video-16Dec-UGC-DFYD-LeadZam
120236769299220240,201.1-UG-Video-16Dec-UGC-DFYD-Winning
120237347779720240,Masters-306
120237347779680240,Masters-303-24Dec25
120237347779670240,Masters-305-24Dec25
120237347926600240,Masters-JobReady-29Dec
120237242971410240,Masters-302-24Dec25
120237347779730240,Masters-302-24Dec25
120237347779690240,Masters-306.1
120237347779700240,Masters-306.2
120237347779740240,Masters-306.3
120237347779620240,Masters-302.1-24Dec25
120237347745490240,Don'tQuitJob-29Dec
120237334023590240,Don'tQuitJob-29Dec
120237333038600240,Masters-JobReady-29Dec
120237332998630240,Masters-306.3
120237242971380240,MBA_Admission_2026_Static-102-India_23Dec-Condtional
120237242971370240,MBA_Admission_2026_Video-India_23Dec-Conditional-C1
120237332988400240,Masters-306.2
120237332981310240,Masters-306.1
120237331963340240,Masters-306
120237331886660240,Masters-302.1-24Dec25
120236916246850240,GLA Man Video
120236916246830240,GLA Image
120236916246840240,GLA Girl Video
120237149010700240,C04-India_23Dec-Conditional-C1-AI
120237237060010240,MBA_Admission_2026_Static-102-CLuster1-Condtional
120237237059990240,101-UGPG-GetDegreeThatStandsOut-Blue-DFYD-Cluster1-Conditional-C1
120237242971400240,Masters-305-24Dec25
120237242971430240,Masters-303-24Dec25
120237237059960240,Amity_UG_PG_Admission_2026-Cluster1-Conditional-C1
120237237059980240,Online-Degree-Cluster1-Conditional
120237237060000240,GLA_University_G-Cluster1-Conditional
120237237060020240,MBA_Admission_2026_Video-Cluster1-Conditional-C1
120231997552190240,GLA Man Video
120236916212740240,GLA Girl Video
120236916170460240,GLA Image
120237178241370240,Masters-305-24Dec25
120237178119900240,Masters-302-24Dec25
120237177879920240,Masters-303-24Dec25
120237149165170240,MBA_Admission_2026_Static-102-CLuster1-Condtional
120237146967170240,C04-Cluster1-Conditional-C1-AI
120237146967140240,202-UG-Video-16DecDFYD-UGC-Cluster1-Conditional
120237146967150240,201-UG-Video-16Dec-UGC-DFYD-Cluster1-Conditional
120237149275720240,Online-Degree-India_23Dec-Conditional
120237149165190240,Amity_UG_PG_Admission_2026-Cluster1-Conditional-C1
120237149165130240,Online-Degree-Cluster1-Conditional
120237149165200240,101-UGPG-GetDegreeThatStandsOut-Blue-DFYD-Cluster1-Conditional-C1
120237149165220240,GLA_University_G-Cluster1-Conditional
120237149165160240,MBA_Admission_2026_Video-Cluster1-Conditional-C1
120237149010720240,202-UG-Video-16DecDFYD-UGC-India_23Dec-Conditional
120237149010790240,201-UG-Video-16Dec-UGC-DFYD-India_23Dec-Conditional
120236915383630240,ShooliniUni-102-India
120237006336990240,GLA_University_G-Cluster1
120236915575350240,ChandigarhUni-102-Punjab
120236915575330240,ChandigarhUni-101-Punjab
120237128659090240,NMIMS Image  2
120237128770910240,NMIMS Image
120236916776650240,NMIMS Image
120236916593210240,NMIMS Image
120236769118620240,201-UG-Video-16Dec-UGC-DFYD-Winning
120236915408940240,ChandigarhUni-101-India
120237006648060240,MBA_Admission_2026_Static-103
120237006021570240,202-UG-Video-16DecDFYD-UGC-Cluster1
120236379255740240,C03-Cluster1-C1
120236379255780240,101-UGPG-GetDegreeThatStandsOut-Blue-DFYD-Cluster1-C1
120236379255720240,Amity_UG_PG_Admission_2026-Cluster1-C1
120236379255710240,C04-Cluster1-C1-AI
120236769060150240,107-UG-DFYD-Cluster1
120236379255730240,C04-Cluster1-C1
120236916196050240,201-UG-Video-16Dec-UGC-DFYD-Cluster1
120236379255770240,Galgotias_Leads_2026_P_Ad_01_Cluster1-C1
120236379255750240,MBA_Admission_2026_Video-Cluster1-C1
