Date,Account,Ad Name,Meta Spend,Sheet Spend,Meta Panel,Sheet Panel,LMS Actual,Sheet LMS,Status
2026-04-28,Degreefyd_B,Galgotias_Leads_2026_P_Ad_01,1704.1,1702.72,34,34.0,0,34.0,DISCREPANCY
2026-04-28,Degreefyd_B,IGNOU_Online_Courses_Admission_DFYD_Delhi_NCR_Ad01,875.62,875.0,39,39.0,61,37.0,MATCH
2026-04-28,Degreefyd_B,IGNOU_Online_Courses_Admission_DFYD_Rest_Ad01,491.93,491.27,29,26.0,61,24.0,DISCREPANCY
2026-04-28,Degreefyd_B,CU_Lucknow_Rem_Ad01,659.22,658.01,10,7.0,0,6.0,DISCREPANCY
2026-04-28,Degreefyd_B,CU_Lucknow_Int_ADG1_Ad02,11.31,11.31,0,0.0,0,0.0,MATCH
2026-04-28,Degreefyd_B,CU_Lucknow_Int_ADG1_Ad01,537.38,537.3,6,6.0,0,6.0,MATCH
2026-04-28,Degreefyd_B,UG_Online_Admission_SF_Ad_Set01_Ad01,98.12,98.12,6,2.0,0,0.0,DISCREPANCY
2026-04-28,Degreefyd_B,UG_Online_Admission_SF_Ad_Set01_Ad02,266.21,266.21,15,5.0,0,0.0,DISCREPANCY
2026-04-28,Degreefyd_B,CU_Mohali_Int_ADG1_Ad02,162.75,162.75,3,0.0,0,0.0,DISCREPANCY
2026-04-28,Degreefyd_B,CU_Mohali_Int_ADG1_Ad01,137.1,137.04,1,1.0,0,1.0,MATCH
2026-04-28,Degreefyd_B,CU_Mohali_Rem_ADG1_Ad01,186.98,186.81,1,1.0,0,1.0,MATCH
2026-04-28,Degreefyd_B,CU_Mohali_Rem_ADG1_Ad02,50.1,50.1,1,1.0,0,0.0,MATCH
2026-04-28,DegreeFYD,Amity_New_Targeting_T1,77.2,77.2,0,0.0,0,0.0,MATCH
2026-04-28,DegreeFYD,Amity_Old_Targeting_T2,89.07,89.07,1,1.0,0,1.0,MATCH
2026-04-28,DegreeFYD,Online_MCA_Creative1,44.76,44.76,0,0.0,0,0.0,MATCH
2026-04-28,DegreeFYD,Online_MCA_Creative2,37.2,37.2,0,0.0,0,0.0,MATCH
2026-04-28,DegreeFYD,CGC_Landran_Punjab_April_Ad1,50.42,50.42,0,0.0,0,0.0,MATCH
2026-04-28,DegreeFYD,CGC_Landran_Punjab_April_Ad2,7.66,7.66,0,0.0,0,0.0,MATCH
2026-04-28,DegreeFYD,LPU_University_Punjab_April_Ad1,48.33,48.33,0,0.0,0,0.0,MATCH
2026-04-28,DegreeFYD,LPU_Nest_April_Ad1,37.1,37.1,4,1.0,0,1.0,DISCREPANCY
2026-04-28,DegreeFYD,LPU_University_Punjab_April_Ad2,56.7,56.7,1,1.0,0,1.0,MATCH
2026-04-28,DegreeFYD,Online_MBA_SF_Ad_Set_T1_C1,102.66,102.66,0,0.0,0,0.0,MATCH
2026-04-29,Degreefyd_B,Galgotias_Leads_2026_P_Ad_01,1651.67,1651.67,24,24.0,0,23.0,MATCH
