date,utm_campaign,utm_source,utm_medium,lead_count,source_db
2026-05-05,,,,30,online_lms
2026-05-05,120244923493070690,ig,paid,4,online_lms
2026-05-05,23228113322,,,18,online_lms
2026-05-05,23292287218,,,1,online_lms
2026-05-05,23349276370,GoogleAds,cpc,27,online_lms
2026-05-05,23463111599,,,2,online_lms
2026-05-05,Amity_Online_Admission_MBA,google,cpc,1,online_lms
2026-05-05,Amity_Online_Admission_MBA,google,cpc5,1,online_lms
2026-05-05,Amity_Online_MBA_SF_CR1,ig,Instagram_Reels,1,online_lms
2026-05-05,CU_Online_Admission,google,cpc,1,online_lms
2026-05-05,CU_Online_Admission_Delta,google,cpc,3,online_lms
2026-05-05,CU_Online_Admission_Delta,google,cpc_s4,1,online_lms
2026-05-05,CU_Online_V1,,cpc,1,online_lms
2026-05-05,F_UA01_{UG All Colleges 3.1} {INT 01} {C1.3},,,17,online_lms
2026-05-05,F_UA1_FEB_MBA_Aryan (INT 01)_ 1.1,,,23,online_lms
2026-05-05,Galgotias_Leads_2026_P_Ad_01,,,22,online_lms
2026-05-05,IGNOU_Online_Courses_Admission_DFYD_Delhi_NCR_Ad01,,,41,online_lms
2026-05-05,IGNOU_Online_Courses_Admission_DFYD_Rest_Ad01,,,18,online_lms
2026-05-05,IGNOU_ONLINE_Degree_CR1,fb,Facebook_Mobile_Feed,1,online_lms
2026-05-05,IGNOU_ONLINE_Degree_CR1,fb,Facebook_Mobile_Reels,1,online_lms
2026-05-05,IGNOU_ONLINE_Degree_CR1,ig,Instagram_Feed,1,online_lms
2026-05-05,IGNOU_ONLINE_Degree_CR1,ig,Instagram_Reels,2,online_lms
2026-05-05,Ignou_Online_MBA_Ad1,fb,Facebook_Mobile_Reels,1,online_lms
2026-05-05,Ignou_Online_MBA_Ad1,ig,Instagram_Reels,1,online_lms
2026-05-05,ONLINE_MBA_SF_ASH_3_CR1,ig,Instagram_Stories,1,online_lms
2026-05-05,Shoolini_Online_Delta,google,cpc,1,online_lms
2026-05-05,UA_MBA_Website_Leads V1 (INT 01) C01,fb,Facebook_Mobile_Reels,1,online_lms
2026-05-05,UA_MBA_Website_Leads V1 (INT 01) C01,ig,Instagram_Feed,1,online_lms
2026-05-05,UA_MBA_Website_Leads V1 (INT 01) C01,ig,Instagram_Reels,11,online_lms
2026-05-05,UA_MBA_Website_Leads V1 (INT 01) C01,ig,Instagram_Stories,2,online_lms
2026-05-05,UA_MBA_Website_Leads V3 (INT 02) C02,fb,Facebook_Mobile_Reels,1,online_lms
2026-05-05,UA_MBA_Website_Leads V3 (INT 02) C02,ig,Instagram_Feed,1,online_lms
2026-05-05,UA_MBA_Website_Leads V3 (INT 02) C02,ig,Instagram_Reels,4,online_lms
2026-05-05,UA_MBA_Website_Leads V3 (INT 02) C02,ig,Instagram_Stories,1,online_lms
2026-05-05,UG_Online_Admission_2026 _SF,ig,Instagram_Reels,7,online_lms
2026-05-06,,,,28,online_lms
2026-05-06,120244923493070690,fb,paid,1,online_lms
2026-05-06,120244923493070690,ig,paid,12,online_lms
2026-05-06,23228113322,,,17,online_lms
2026-05-06,23349276370,GoogleAds,cpc,45,online_lms
2026-05-06,{{ad.name}},,{{placement}},1,online_lms
2026-05-06,Amity_Online_Admission_MBA,google,cpc,1,online_lms
2026-05-06,Amity_Online_Admission_MBA,google,cpc2,2,online_lms
2026-05-06,AMITY_ONLINE_UG&PG_IF_CR1,,,3,online_lms
2026-05-06,{{campaign.name}},{{site_source_name}},{{placement}},1,online_lms
2026-05-06,CU_Online_Admission,google,cpc,1,online_lms
2026-05-06,CU_Online_Admission_Delta,google,cpc,4,online_lms
2026-05-06,CU_Online_Admission_Zeta,google,cpc,1,online_lms
2026-05-06,CU_ONLINE_UG&PG_ASH_4_CR1,ig,Instagram_Feed,1,online_lms
2026-05-06,F_UA01_{UG All Colleges 3.1} {INT 01} {C1.3},,,9,online_lms
2026-05-06,F_UA1_FEB_MBA_Aryan (INT 01)_ 1.1,,,20,online_lms
2026-05-06,Galgotias_Leads_2026_P_Ad_01,,,26,online_lms
2026-05-06,IGNOU_Online_Courses_Admission_DFYD_Delhi_NCR_Ad01,,,31,online_lms
2026-05-06,IGNOU_Online_Courses_Admission_DFYD_Rest_Ad01,,,22,online_lms
2026-05-06,IGNOU_ONLINE_Degree_CR1,fb,Facebook_Desktop_Feed,1,online_lms
2026-05-06,IGNOU_ONLINE_Degree_CR1,fb,Facebook_Mobile_Feed,1,online_lms
2026-05-06,IGNOU_ONLINE_Degree_CR1,fb,Facebook_Mobile_Reels,1,online_lms
2026-05-06,IGNOU_ONLINE_Degree_CR1,fb,Facebook_Stories,1,online_lms
2026-05-06,IGNOU_ONLINE_Degree_CR1,ig,Instagram_Feed,1,online_lms
2026-05-06,IGNOU_ONLINE_Degree_CR1,ig,Instagram_Reels,6,online_lms
2026-05-06,LPU_Online_Alpha,google,cpc,1,online_lms
2026-05-06,Manipal_Online_UG&PG_SF_CR1,fb,Facebook_Mobile_Feed,1,online_lms
2026-05-06,Manipal_Online_UG&PG_SF_CR1,ig,Instagram_Feed,1,online_lms
