created_date,utm_campaign,lead_count,source_db
2026-05-03,23349276370,52,online_lms
2026-05-03,,32,online_lms
2026-05-03,F_UA1_FEB_MBA_Aryan (INT 01)_ 1.1,28,online_lms
2026-05-03,23228113322,23,online_lms
2026-05-03,Galgotias_Leads_2026_P_Ad_01,23,online_lms
2026-05-03,IGNOU_Online_Courses_Admission_DFYD_Rest_Ad01,21,online_lms
2026-05-03,IGNOU_Online_Courses_Admission_DFYD_Delhi_NCR_Ad01,15,online_lms
2026-05-03,IGNOU_ONLINE_Degree_CR1,11,online_lms
2026-05-03,F_UA01_{UG All Colleges 3.1} {INT 01} {C1.3},10,online_lms
2026-05-03,UA_MBA_Website_Leads V1 (INT 01) C01,7,online_lms
2026-05-03,UG_Online_Admission_2026 _SF,3,online_lms
2026-05-03,UA_MBA_Website_Leads V2 (INT 01) C01,2,online_lms
2026-05-03,Panjab_Admissions,2,online_lms
2026-05-03,UA_MBA_Website_Leads V3 (INT 02) C02,2,online_lms
2026-05-03,Shoolini_Online_Delta,2,online_lms
2026-05-03,Ignou_Online_MBA_Ad1,2,online_lms
2026-05-03,UA_MBA_Website_Leads V3 (INT 03) C01,1,online_lms
2026-05-03,23486436393,1,online_lms
2026-05-03,CU_Online_Admission_Delta,1,online_lms
2026-05-03,23463111599,1,online_lms
2026-05-03,G_P,1,online_lms
2026-05-03,CU_Online_Admission,1,online_lms
2026-05-03,UA_MBA_Website_Leads V3 (INT 01) C02,1,online_lms
2026-05-03,23463111599,64,regular_lms
2026-05-03,Panjab_Admissions,28,regular_lms
2026-05-03,,20,regular_lms
2026-05-03,23292287218,15,regular_lms
2026-05-03,LPU_Online_Gamma,12,regular_lms
2026-05-03,23748848361,11,regular_lms
2026-05-03,LPU_Online_Alpha,7,regular_lms
2026-05-03,CU_Lucknow_Rem_Ad01,6,regular_lms
2026-05-03,CU_Lucknow_Int_ADG1_Ad01,4,regular_lms
2026-05-03,CU_Online_Admission,4,regular_lms
2026-05-03,CU_Mohali_Int_ADG1_Ad01,3,regular_lms
2026-05-03,23486436393,3,regular_lms
2026-05-03,CU_Mohali_Rem_ADG1_Ad01,3,regular_lms
2026-05-03,CU_Online_Admission_Delta,1,regular_lms
2026-05-03,CU_Lucknow_Int_ADG1_Ad02,1,regular_lms
2026-05-03,Shoolini_Online_Delta,1,regular_lms
2026-05-03,23292287218,10,regular_cgc_lms
2026-05-03,23463111599,10,regular_cgc_lms
2026-05-03,Panjab_Admissions,10,regular_cgc_lms
2026-05-03,CGC_Mohali,8,regular_cgc_lms
2026-05-03,CGC_BTECH_REGU_SF_CR2,2,regular_cgc_lms
2026-05-03,CGC_BTECH_REGU_Rem_SF_AD_01,1,regular_cgc_lms
2026-05-03,S_P,174,regular_amity_lms
2026-05-03,G_P,157,regular_amity_lms
2026-05-03,G_F,25,regular_amity_lms
2026-05-03,S_F,6,regular_amity_lms
2026-05-03,M_F,4,regular_amity_lms
2026-05-03,23228113322,1,regular_amity_lms
2026-05-03,C_F,1,regular_amity_lms
