created_date,utm_campaign,lead_count,source_db
2026-04-28,23349276370,47,online_lms
2026-04-28,IGNOU_Online_Courses_Admission_DFYD_Delhi_NCR_Ad01,37,online_lms
2026-04-28,,35,online_lms
2026-04-28,Galgotias_Leads_2026_P_Ad_01,34,online_lms
2026-04-28,IGNOU_Online_Courses_Admission_DFYD_Rest_Ad01,24,online_lms
2026-04-28,23463111599,58,regular_lms
2026-04-28,23292287218,25,regular_lms
2026-04-28,Panjab_Admissions,23,regular_lms
2026-04-28,G_P,337,regular_amity_lms
2026-04-28,S_P,203,regular_amity_lms
2026-04-28,G_F,68,regular_amity_lms
2026-04-28,23463111599,13,regular_cgc_lms
2026-04-28,Panjab_Admissions,10,regular_cgc_lms
2026-04-29,23349276370,52,online_lms
2026-04-29,,33,online_lms
2026-04-29,23463111599,51,regular_lms
2026-04-29,Panjab_Admissions,34,regular_lms
2026-04-29,G_P,335,regular_amity_lms
2026-04-29,G_F,48,regular_amity_lms
2026-04-30,,34,online_lms
2026-04-30,F_UA1_FEB_MBA_Aryan (INT 01)_ 1.1,28,online_lms
2026-04-30,23463111599,73,regular_lms
2026-04-30,Panjab_Admissions,27,regular_lms
2026-04-30,G_P,319,regular_amity_lms
2026-04-30,S_P,152,regular_amity_lms
2026-05-01,23349276370,46,online_lms
2026-05-01,,45,online_lms
2026-05-01,23463111599,65,regular_lms
2026-05-01,Panjab_Admissions,33,regular_lms
2026-05-01,G_P,327,regular_amity_lms
2026-05-01,S_P,190,regular_amity_lms
2026-05-02,23349276370,43,online_lms
2026-05-02,,37,online_lms
2026-05-02,23463111599,65,regular_lms
2026-05-02,Panjab_Admissions,34,regular_lms
2026-05-02,G_P,369,regular_amity_lms
2026-05-02,S_P,209,regular_amity_lms
2026-05-03,23349276370,52,online_lms
2026-05-03,,32,online_lms
2026-05-03,23463111599,64,regular_lms
2026-05-03,Panjab_Admissions,28,regular_lms
2026-05-03,S_P,174,regular_amity_lms
2026-05-03,G_P,157,regular_amity_lms
2026-05-04,,38,online_lms
2026-05-04,23463111599,65,regular_lms
2026-05-04,Panjab_Admissions,34,regular_lms
2026-05-04,G_P,348,regular_amity_lms
2026-05-04,S_P,200,regular_amity_lms
2026-05-05,IGNOU_Online_Courses_Admission_DFYD_Delhi_NCR_Ad01,41,online_lms
2026-05-05,23463111599,94,regular_lms
2026-05-05,23292287218,41,regular_lms
2026-05-05,G_P,229,regular_amity_lms
2026-05-05,S_P,205,regular_amity_lms
2026-05-06,23349276370,25,online_lms
2026-05-06,23463111599,39,regular_lms
2026-05-06,Panjab_Admissions,22,regular_lms
2026-05-06,G_P,409,regular_amity_lms
2026-05-06,S_P,256,regular_amity_lms
