created_date,utm_campaign,lead_count,source_db
2026-05-03,Facebook,16,online_lms
2026-05-03,FaceBook,59,online_lms
2026-05-03,FaceBook_University_Admit,51,online_lms
2026-05-03,Google_Lead_Form,24,online_lms
2026-05-03,Landing Page,6,online_lms
2026-05-03,Meta_M,1,online_lms
2026-05-03,Organic,55,online_lms
2026-05-03,WhatsApp,30,online_lms
2026-05-03,FaceBook,17,regular_lms
2026-05-03,Google_Lead_Form,3,regular_lms
2026-05-03,Landing Page,53,regular_lms
2026-05-03,Organic,108,regular_lms
2026-05-03,student_ref,2,regular_lms
2026-05-03,Facebook,3,regular_cgc_lms
2026-05-03,Landing Page,17,regular_cgc_lms
2026-05-03,Organic,20,regular_cgc_lms
2026-05-03,student_ref,1,regular_cgc_lms
2026-05-03,Google_Lead_Form,1,regular_amity_lms
2026-05-03,Meta_M,365,regular_amity_lms
2026-05-03,student_ref,2,regular_amity_lms
