Platform,Platform Type,Account,Date,Campaign,Ad Name,Spends,Pannel_Lead,lead_LMS
Meta,Lead Gen,Degreefyd_B,2026-05-03,CU_Lucknow_Remarketing,CU_Lucknow_Rem_Ad01,480.43,7,6
Meta,Lead Gen,Degreefyd_B,2026-05-03,CU_Lucknow_Int,CU_Lucknow_Int_ADG1_Ad01,431.68,4,4
Meta,Lead Gen,Degreefyd_B,2026-05-03,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad01,272.6,4,3
Meta,Lead Gen,Degreefyd_B,2026-05-03,CU_Mohali_Rem,CU_Mohali_Rem_ADG1_Ad01,222.35,3,3
Meta,Lead Gen,Degreefyd_B,2026-05-03,CU_Lucknow_Int,CU_Lucknow_Int_ADG1_Ad02,11.4,1,1
Meta,Lead Gen,Degreefyd_B,2026-05-03,CGC_BTECH_REGU_SF,CGC_BTECH_REGU_SF_CR2,369.02,1,2
Meta,Lead Gen,Degreefyd_B,2026-05-03,CGC_BTECH_REGU_Rem_SF,CGC_BTECH_REGU_Rem_SF_AD_01,419.23,1,1
Meta,Lead Gen,Degreefyd_B,2026-05-03,CGC_Landran_UG&PG_SF,CGC_Landran_UG&PG_SF_CR2,524.49,1,0
Meta,Lead Gen,Degreefyd_B,2026-05-03,CGC_Landran_UG&PG_SF,CGC_Landran_UG&PG_CR1,39.28,0,0
Meta,Lead Gen,Degreefyd_B,2026-05-03,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad02,34.48,0,0
Meta,Lead Gen,Degreefyd_B,2026-05-03,CU_Mohali_Rem,CU_Mohali_Rem_ADG1_Ad02,5.14,0,0
Meta,Lead Gen,Degreefyd_B,2026-05-04,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad01,390.23,7,7
Meta,Lead Gen,Degreefyd_B,2026-05-04,CU_Lucknow_Int,CU_Lucknow_Int_ADG1_Ad01,589.75,6,6
Meta,Lead Gen,Degreefyd_B,2026-05-04,CU_Lucknow_Remarketing,CU_Lucknow_Rem_Ad01,662.33,4,3
Meta,Lead Gen,Degreefyd_B,2026-05-04,CU_Lucknow_Remarketing,CU_Lucknow_Rem_Ad02,10.45,1,1
Meta,Lead Gen,Degreefyd_B,2026-05-04,CU_Mohali_Rem,CU_Mohali_Rem_ADG1_Ad01,260.96,1,1
Meta,Lead Gen,Degreefyd_B,2026-05-04,CGC_Landran_UG&PG_SF,CGC_Landran_UG&PG_CR1,28.36,0,0
Meta,Lead Gen,Degreefyd_B,2026-05-04,CGC_BTECH_REGU_SF,CGC_BTECH_REGU_SF_CR2,256.51,0,3
Meta,Lead Gen,Degreefyd_B,2026-05-04,CGC_BTECH_REGU_Rem_SF,CGC_BTECH_REGU_Rem_SF_AD_01,188.86,0,1
Meta,Lead Gen,Degreefyd_B,2026-05-04,CGC_Landran_UG&PG_SF,CGC_Landran_UG&PG_SF_CR2,304.03,0,0
