Platform,Platform Type,Account,Date,Campaign,Ad Name,Spends,Pannel_Lead,LMS Leads
Meta,Lead Gen,Degreefyd_B,2026-05-03,Galgotias_Lead_2026,Galgotias_Leads_2026_P_Ad_01,1332.58,27,158
Meta,Lead Gen,Degreefyd_B,2026-05-03,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Delhi_NCR_Ad01,671.46,16,94
Meta,Lead Gen,Degreefyd_B,2026-05-03,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Rest_Ad01,366.65,24,141
Meta,Lead Gen,Degreefyd_B,2026-05-03,CU_Lucknow_Remarketing,CU_Lucknow_Rem_Ad01,480.46,7,41
Meta,Lead Gen,Degreefyd_B,2026-05-03,CU_Lucknow_Int,CU_Lucknow_Int_ADG1_Ad02,11.4,1,6
Meta,Lead Gen,Degreefyd_B,2026-05-03,CU_Lucknow_Int,CU_Lucknow_Int_ADG1_Ad01,431.74,4,23
Meta,Lead Gen,Degreefyd_B,2026-05-03,UG_Online_Admission_2026 _SF,UG_Online_Admission_SF_Ad_Set01_Ad01,42.95,0,0
Meta,Lead Gen,Degreefyd_B,2026-05-03,UG_Online_Admission_2026 _SF,UG_Online_Admission_SF_Ad_Set01_Ad02,357.66,3,18
Meta,Lead Gen,Degreefyd_B,2026-05-03,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad02,34.48,0,0
Meta,Lead Gen,Degreefyd_B,2026-05-03,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad01,272.74,6,35
Meta,Lead Gen,Degreefyd_B,2026-05-03,CU_Mohali_Rem,CU_Mohali_Rem_ADG1_Ad01,222.35,3,18
Meta,Lead Gen,Degreefyd_B,2026-05-03,CU_Mohali_Rem,CU_Mohali_Rem_ADG1_Ad02,5.14,0,0
Meta,Lead Gen,DegreeFYD,2026-05-03,Ignou_Online_MBA,Ignou_Online_MBA_SF_Ad1,406.32,12,70
Meta,Lead Gen,DegreeFYD,2026-05-03,IGNOU_ONLINE_DEGREE,IGNOU_ONLINE_Degree_CR1,641.84,27,158
Meta,Lead Gen,DegreeFYD,2026-05-03,Online_MBA_SF_G1,Online_MBA_SF_G1_CR1,67.85,3,18
Meta,Lead Gen,DegreeFYD,2026-05-03,Online_MBA_SF_G1,Online_MBA_SF_G1_CR2,210.33,0,0
Meta,Lead Gen,DegreeFYD,2026-05-03,CGC_Landran_UG&PG_SF,CGC_Landran_UG&PG_CR1,39.28,0,0
Meta,Lead Gen,DegreeFYD,2026-05-03,CGC_BTECH_REGU_SF,CGC_BTECH_REGU_SF_CR2,369.1,3,18
Meta,Lead Gen,DegreeFYD,2026-05-03,CGC_BTECH_REGU_Rem_SF,CGC_BTECH_REGU_Rem_SF_AD_01,420.56,3,18
Meta,Lead Gen,DegreeFYD,2026-05-03,CGC_Landran_UG&PG_SF,CGC_Landran_UG&PG_SF_CR2,524.49,3,18
