Platform,Account,Date,Campaign,Ad Name,Spends,Pannel_Lead
Meta,Degreefyd_B,2026-04-28,Galgotias_Lead_2026,Galgotias_Leads_2026_P_Ad_01,1704.1,34
Meta,Degreefyd_B,2026-04-28,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Delhi_NCR_Ad01,875.62,39
Meta,Degreefyd_B,2026-04-28,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Rest_Ad01,491.93,29
Meta,Degreefyd_B,2026-04-28,CU_Lucknow_Remarketing,CU_Lucknow_Rem_Ad01,659.22,10
Meta,Degreefyd_B,2026-04-28,CU_Lucknow_Int,CU_Lucknow_Int_ADG1_Ad02,11.31,0
Meta,Degreefyd_B,2026-04-28,CU_Lucknow_Int,CU_Lucknow_Int_ADG1_Ad01,537.38,6
Meta,Degreefyd_B,2026-04-28,UG_Online_Admission_2026 _SF,UG_Online_Admission_SF_Ad_Set01_Ad01,98.12,6
Meta,Degreefyd_B,2026-04-28,UG_Online_Admission_2026 _SF,UG_Online_Admission_SF_Ad_Set01_Ad02,266.21,15
Meta,Degreefyd_B,2026-04-28,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad02,162.75,3
Meta,Degreefyd_B,2026-04-28,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad01,137.1,1
Meta,Degreefyd_B,2026-04-28,CU_Mohali_Rem,CU_Mohali_Rem_ADG1_Ad01,186.98,1
Meta,Degreefyd_B,2026-04-28,CU_Mohali_Rem,CU_Mohali_Rem_ADG1_Ad02,50.1,1
Meta,Degreefyd_B,2026-04-29,Galgotias_Lead_2026,Galgotias_Leads_2026_P_Ad_01,1651.67,24
Meta,Degreefyd_B,2026-04-29,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Delhi_NCR_Ad01,857.68,23
Meta,Degreefyd_B,2026-04-29,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Rest_Ad01,462.15,11
Meta,Degreefyd_B,2026-04-29,CU_Lucknow_Remarketing,CU_Lucknow_Rem_Ad01,600.63,7
Meta,Degreefyd_B,2026-04-29,CU_Lucknow_Remarketing,CU_Lucknow_Rem_Ad02,63.0,2
Meta,Degreefyd_B,2026-04-29,CU_Lucknow_Int,CU_Lucknow_Int_ADG1_Ad01,575.36,11
Meta,Degreefyd_B,2026-04-29,UG_Online_Admission_2026 _SF,UG_Online_Admission_SF_Ad_Set01_Ad01,6.96,0
Meta,Degreefyd_B,2026-04-29,UG_Online_Admission_2026 _SF,UG_Online_Admission_SF_Ad_Set01_Ad02,345.37,21
Meta,Degreefyd_B,2026-04-29,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad02,273.45,4
Meta,Degreefyd_B,2026-04-29,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad01,105.9,1
Meta,Degreefyd_B,2026-04-29,CU_Mohali_Rem,CU_Mohali_Rem_ADG1_Ad01,330.6,8
Meta,Degreefyd_B,2026-04-29,CU_Mohali_Rem,CU_Mohali_Rem_ADG1_Ad02,45.47,0
Meta,Degreefyd_B,2026-04-30,Galgotias_Lead_2026,Galgotias_Leads_2026_P_Ad_01,1546.35,18
Meta,Degreefyd_B,2026-04-30,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Delhi_NCR_Ad01,748.01,33
Meta,Degreefyd_B,2026-04-30,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Rest_Ad01,420.81,20
Meta,Degreefyd_B,2026-04-30,CU_Lucknow_Remarketing,CU_Lucknow_Rem_Ad01,531.11,4
Meta,Degreefyd_B,2026-04-30,CU_Lucknow_Remarketing,CU_Lucknow_Rem_Ad02,15.55,0
Meta,Degreefyd_B,2026-04-30,CU_Lucknow_Int,CU_Lucknow_Int_ADG1_Ad01,486.6,9
Meta,Degreefyd_B,2026-04-30,UG_Online_Admission_2026 _SF,UG_Online_Admission_SF_Ad_Set01_Ad02,421.19,15
Meta,Degreefyd_B,2026-04-30,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad02,286.95,4
Meta,Degreefyd_B,2026-04-30,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad01,58.06,2
Meta,Degreefyd_B,2026-04-30,CU_Mohali_Rem,CU_Mohali_Rem_ADG1_Ad01,191.27,5
Meta,Degreefyd_B,2026-05-01,Galgotias_Lead_2026,Galgotias_Leads_2026_P_Ad_01,1796.22,40
Meta,Degreefyd_B,2026-05-01,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Delhi_NCR_Ad01,1004.69,48
Meta,Degreefyd_B,2026-05-01,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Rest_Ad01,532.34,21
Meta,Degreefyd_B,2026-05-01,CU_Lucknow_Remarketing,CU_Lucknow_Rem_Ad01,628.95,2
Meta,Degreefyd_B,2026-05-01,CU_Lucknow_Remarketing,CU_Lucknow_Rem_Ad02,25.8,0
Meta,Degreefyd_B,2026-05-01,CU_Lucknow_Int,CU_Lucknow_Int_ADG1_Ad02,53.24,1
Meta,Degreefyd_B,2026-05-01,CU_Lucknow_Int,CU_Lucknow_Int_ADG1_Ad01,459.22,7
Meta,Degreefyd_B,2026-05-01,UG_Online_Admission_2026 _SF,UG_Online_Admission_SF_Ad_Set01_Ad02,398.31,18
Meta,Degreefyd_B,2026-05-01,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad02,166.02,3
Meta,Degreefyd_B,2026-05-01,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad01,174.6,6
Meta,Degreefyd_B,2026-05-01,CU_Mohali_Rem,CU_Mohali_Rem_ADG1_Ad01,256.83,3
Meta,Degreefyd_B,2026-05-02,Galgotias_Lead_2026,Galgotias_Leads_2026_P_Ad_01,1598.39,29
Meta,Degreefyd_B,2026-05-02,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Delhi_NCR_Ad01,852.69,38
Meta,Degreefyd_B,2026-05-02,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Rest_Ad01,491.68,34
Meta,Degreefyd_B,2026-05-02,CU_Lucknow_Remarketing,CU_Lucknow_Rem_Ad01,612.37,4
