Platform,Account,Date,Campaign,Ad Name,Spends,Pannel_Lead
Meta,Degreefyd_B,2026-04-28,Galgotias_Lead_2026,Galgotias_Leads_2026_P_Ad_01,13970.52,259
Meta,Degreefyd_B,2026-04-28,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Delhi_NCR_Ad01,7362.63,281
Meta,Degreefyd_B,2026-04-28,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Rest_Ad01,4088.5,194
Meta,Degreefyd_B,2026-04-28,CU_Lucknow_Remarketing,CU_Lucknow_Rem_Ad01,5154.23,47
Meta,Degreefyd_B,2026-04-28,CU_Lucknow_Remarketing,CU_Lucknow_Rem_Ad02,134.87,3
Meta,Degreefyd_B,2026-04-28,CU_Lucknow_Int,CU_Lucknow_Int_ADG1_Ad02,77.9,2
Meta,Degreefyd_B,2026-04-28,CU_Lucknow_Int,CU_Lucknow_Int_ADG1_Ad01,4452.87,66
Meta,Degreefyd_B,2026-04-28,UG_Online_Admission_2026 _SF,UG_Online_Admission_SF_Ad_Set01_Ad01,404.51,9
Meta,Degreefyd_B,2026-04-28,UG_Online_Admission_2026 _SF,UG_Online_Admission_SF_Ad_Set01_Ad02,3035.08,114
Meta,Degreefyd_B,2026-04-28,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad02,1088.3,17
Meta,Degreefyd_B,2026-04-28,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad01,1958.89,41
Meta,Degreefyd_B,2026-04-28,CU_Mohali_Rem,CU_Mohali_Rem_ADG1_Ad01,2085.22,28
Meta,Degreefyd_B,2026-04-28,CU_Mohali_Rem,CU_Mohali_Rem_ADG1_Ad02,108.47,1
Meta,DegreeFYD,2026-04-28,Online_MBA,Amity_New_Targeting_T1,77.2,0
Meta,DegreeFYD,2026-04-28,Online_MBA,Amity_Old_Targeting_T2,312.29,3
Meta,DegreeFYD,2026-04-28,Online_MCA,Online_MCA_Creative1,223.55,1
Meta,DegreeFYD,2026-04-28,Online_MCA,Online_MCA_Creative2,37.2,0
Meta,DegreeFYD,2026-04-28,CGC_Landran_Punjab_April,CGC_Landran_Punjab_April_Ad1,201.74,0
Meta,DegreeFYD,2026-04-28,CGC_Landran_Punjab_April,CGC_Landran_Punjab_April_Ad2,7.66,0
Meta,DegreeFYD,2026-04-28,LPU_University_Punjab_April,LPU_University_Punjab_April_Ad1,637.93,8
Meta,DegreeFYD,2026-04-28,LPU_Nest_April,LPU_Nest_April_Ad1,652.15,9
Meta,DegreeFYD,2026-04-28,LPU_University_Punjab_April,LPU_University_Punjab_April_Ad2,56.7,1
Meta,DegreeFYD,2026-04-28,Online_MBA_SF,Online_MBA_SF_Ad_Set_T1_C1,803.8,0
Meta,DegreeFYD,2026-04-28,Ignou_Online_MBA,Ignou_Online_MBA_SF_Ad1,2321.02,33
Meta,DegreeFYD,2026-04-28,IGNOU_ONLINE_DEGREE,IGNOU_ONLINE_Degree_CR1,3583.39,138
Meta,DegreeFYD,2026-04-28,Online_MBA_SF_G1,Online_MBA_SF_G1_CR1,661.07,27
Meta,DegreeFYD,2026-04-28,Online_MBA_SF_G1,Online_MBA_SF_G1_CR2,775.33,9
Meta,DegreeFYD,2026-04-28,CGC_Landran_UG&PG_SF,CGC_Landran_UG&PG_CR1,532.85,3
Meta,DegreeFYD,2026-04-28,CGC_BTECH_REGU_SF,CGC_BTECH_REGU_SF_CR1,69.42,0
Meta,DegreeFYD,2026-04-28,CGC_BTECH_REGU_SF,CGC_BTECH_REGU_SF_CR2,1232.55,9
Meta,DegreeFYD,2026-04-28,CGC_BTECH_REGU_Rem_SF,CGC_BTECH_REGU_Rem_SF_AD_01,1191.75,6
Meta,DegreeFYD,2026-04-28,CGC_Landran_UG&PG_SF,CGC_Landran_UG&PG_SF_CR2,1319.8,3
Meta,DegreeFYD,2026-04-28,Online_UG&PG_SF,Online_UG&PG_SF_CR1,150.11,0
Meta,DegreeFYD,2026-04-28,Online_BBA_SF_ASH_1,Online_BBA_SF_ASH_CR1,512.34,0
Meta,DegreeFYD,2026-04-28,Online_UG&PG_SF,Online_UG&PG_SF_CR2,566.29,0
Meta,DegreeFYD,2026-04-28,Online_UG_Video_SF,Online_UG_Video_SF_VD1,51.61,0
Meta,DegreeFYD,2026-04-28,Online_UG_Video_SF,Online_UG_Video_SF_VD2,457.36,0
Meta,DegreeFYD,2026-04-28,ONLINE_MBA_SF_ASH_2,ONLINE_MBA_SF_ASH_2_CR1,206.67,3
Meta,DegreeFYD,2026-04-28,Amity_Online_MBA_SF,Amity_Online_MBA_SF_CR1,399.37,0
Meta,DegreeFYD,2026-04-28,ONLINE_MBA_SF_ASH_2,ONLINE_MBA_SF_ASH_2_CR2,210.81,3
Meta,DegreeFYD,2026-04-28,ONLINE_MBA_SF_ASH_3,ONLINE_MBA_SF_ASH_3_CR1,350.7,9
Meta,DegreeFYD,2026-04-28,ONLINE_MBA_SF_ASH_3,ONLINE_MBA_SF_ASH_3_CR2,51.49,3
Meta,DegreeFYD,2026-04-28,CU_ONLINE_UG&PG_ASH_4,CU_ONLINE_UG&PG_ASH_4_CR1,197.63,0
Meta,DegreeFYD,2026-04-28,CU_ONLINE_UG&PG_ASH_4,CU_ONLINE_UG&PG_ASH_4_CR2,141.62,0
Meta,DegreeFYD,2026-04-28,Manipal_Online_UG&PG_SF,Manipal_Online_UG&PG_SF_CR1,186.22,0
Meta,DegreeFYD,2026-04-28,AMITY_ONLINE_UG&PG_ASH_5,AMITY_ONLINE_UG&PG_ASH_5_CR1,83.16,0
Meta,DegreeFYD,2026-04-28,AMITY_ONLINE_UG&PG_ASH_5,AMITY_ONLINE_UG&PG_ASH_5_CR2,86.51,0
