Platform,Platform Type,Account,Date,Campaign,Ad Name,Spends,Pannel_Lead,LMS Leads
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-01,Galgotias_Lead_2026,Galgotias_Leads_2026_P_Ad_01,1796.22,40,31
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-01,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Delhi_NCR_Ad01,1004.69,48,44
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-01,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Rest_Ad01,532.34,21,43
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-01,CU_Lucknow_Remarketing,CU_Lucknow_Rem_Ad01,628.95,2,2
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-01,CU_Lucknow_Remarketing,CU_Lucknow_Rem_Ad02,25.8,0,0
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-01,CU_Lucknow_Int,CU_Lucknow_Int_ADG1_Ad02,53.24,1,6
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-01,CU_Lucknow_Int,CU_Lucknow_Int_ADG1_Ad01,459.22,7,6
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-01,UG_Online_Admission_2026 _SF,UG_Online_Admission_SF_Ad_Set01_Ad02,398.31,18,13
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-01,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad02,166.02,3,5
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-01,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad01,174.6,6,5
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-01,CU_Mohali_Rem,CU_Mohali_Rem_ADG1_Ad01,256.83,3,0
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-02,Galgotias_Lead_2026,Galgotias_Leads_2026_P_Ad_01,1598.39,29,24
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-02,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Delhi_NCR_Ad01,852.69,38,45
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-02,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Rest_Ad01,491.68,34,44
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-02,CU_Lucknow_Remarketing,CU_Lucknow_Rem_Ad01,612.37,4,4
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-02,CU_Lucknow_Remarketing,CU_Lucknow_Rem_Ad02,5.09,0,0
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-02,CU_Lucknow_Int,CU_Lucknow_Int_ADG1_Ad01,541.55,8,6
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-02,UG_Online_Admission_2026 _SF,UG_Online_Admission_SF_Ad_Set01_Ad01,45.39,0,7
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-02,UG_Online_Admission_2026 _SF,UG_Online_Admission_SF_Ad_Set01_Ad02,329.19,12,7
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-02,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad02,81.08,3,0
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-02,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad01,244.01,3,0
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-02,CU_Mohali_Rem,CU_Mohali_Rem_ADG1_Ad01,205.9,5,4
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-03,Galgotias_Lead_2026,Galgotias_Leads_2026_P_Ad_01,1332.58,27,17
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-03,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Delhi_NCR_Ad01,671.46,16,27
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-03,IGNOU_Online_Courses_Admission_DFYD,IGNOU_Online_Courses_Admission_DFYD_Rest_Ad01,366.65,24,27
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-03,CU_Lucknow_Remarketing,CU_Lucknow_Rem_Ad01,480.46,7,4
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-03,CU_Lucknow_Int,CU_Lucknow_Int_ADG1_Ad02,11.4,1,4
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-03,CU_Lucknow_Int,CU_Lucknow_Int_ADG1_Ad01,431.74,4,4
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-03,UG_Online_Admission_2026 _SF,UG_Online_Admission_SF_Ad_Set01_Ad01,42.95,0,2
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-03,UG_Online_Admission_2026 _SF,UG_Online_Admission_SF_Ad_Set01_Ad02,357.66,3,2
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-03,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad02,34.48,0,2
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-03,CU_Mohali_Int,CU_Mohali_Int_ADG1_Ad01,272.74,6,2
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-03,CU_Mohali_Rem,CU_Mohali_Rem_ADG1_Ad01,222.35,3,2
Meta Ads,Lead Gen,FaceBook_Degreefyd_B,2026-05-03,CU_Mohali_Rem,CU_Mohali_Rem_ADG1_Ad02,5.14,0,2
