Platform,,Meta,Meta,Meta,Meta,Meta,Meta,LMS,FFH Sheet,FFH Sheet,Fornula,Fornula,FFH Sheet,Formula,Formula,Formula,Formula,FFH Sheet
Platform,Type,Account,Date,Campaign,Ad Name,Spends,Pannel_Lead,Lead_LMS,FFH,Adm,CPL Pannel,CPL LMS,Invoicing_Var,CAC FFH,CAC Adm,CAC / ARPU,Lead Dup,Total_Var
Meta Ads,,FaceBook_University_Admit,2025-12-24,IGNOU_MBA_27th _Aug,IGNOU_MBA - v2Ad2,342.03,5,5,0,0,68,68,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-11-07,IGNOU_MBA_27th _Aug,IGNOU_MBA_27thAug_V2,7.17,0,0,0,0,7,7,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-11-08,IGNOU_MBA_27th _Aug,IGNOU_MBA - v2Ad2,253.2,3,3,0,0,84,84,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-11-08,IGNOU_MBA_27th _Aug,IGNOU_MBA_27thAug_V2,5.16,0,0,0,0,5,5,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-11-09,IGNOU_MBA_27th _Aug,IGNOU_MBA - v2Ad2,280.53,3,3,0,0,94,94,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-11-09,IGNOU_MBA_27th _Aug,IGNOU_MBA_27thAug_V2,87.18,1,1,0,0,87,87,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-11-10,IGNOU_MBA_27th _Aug,IGNOU_MBA - v2Ad2,253.22,3,3,0,0,84,84,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-11-10,IGNOU_MBA_27th _Aug,IGNOU_MBA_27thAug_V2,131.53,2,2,0,0,66,66,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-11-11,IGNOU_MBA_27th _Aug,IGNOU_MBA - v2Ad2,224.47,4,4,0,0,56,56,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-11-11,IGNOU_MBA_27th _Aug,IGNOU_MBA_27thAug_V2,128.66,4,4,0,0,32,32,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-11-12,IGNOU_MBA_27th _Aug,IGNOU_MBA - v2Ad2,349.96,7,7,0,0,50,50,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-11-12,IGNOU_MBA_27th _Aug,IGNOU_MBA_27thAug_V2,53.73,1,1,0,0,54,54,0,-,-,-,0%,0
Meta Ads,,FaceBook_University_Admit,2025-11-13,IGNOU_MBA_27th _Aug,IGNOU_MBA - v2Ad2,359.76,7,7,0,0,51,51,0,-,-,-,0%,0
