Platform,Meta,Meta,Meta,Meta,Meta,Meta,LMS,FFH Sheet,FFH Sheet,Fornula,Fornula,FFH Sheet,Formula,Formula,Formula,Formula
Platform,Account,Date,Campaign,Ad Name,Spends,Pannel_Lead,Lead_LMS,FFH,Adm,CPL Pannel,CPL LMS,Invoicing_Var,CAC FFH,CAC Adm,CAC / ARPU,Lead Dup
Google Ads,Degreefyd_Generic_Regular,2025-12-02,DSA_Punjab_Generic_Admission,23292287218,7.29,0,0,0,0,7,7,0,-,-,-,0%
Google Ads,Degreefyd_Generic_Regular,2025-12-03,DSA_Punjab_Generic_Admission,23292287218,12.48,0,0,0,0,12,12,0,-,-,-,0%
Google Ads,Degreefyd_Generic_Regular,2025-12-04,DSA_Punjab_Generic_Admission,23292287218,6.56,0,0,0,0,7,7,0,-,-,-,0%
Google Ads,Degreefyd_Generic_Regular,2025-12-05,DSA_Punjab_Generic_Admission,23292287218,5.67,0,0,0,0,6,6,0,-,-,-,0%
Google Ads,Degreefyd_Generic_Regular,2026-01-08,DSA_Punjab_Generic_Admission,23292287218,31.15,1,1,0,0,31,31,0,-,-,-,0%
Google Ads,Degreefyd_Generic_Regular,2026-01-09,DSA_Punjab_Generic_Admission,23292287218,35.33,0,0,0,0,35,35,0,-,-,-,0%
Google Ads,Degreefyd_Standard_Generic,2026-01-09,Punjab_Engineering_Admissions,23439004530,453.89,2,1,0,0,227,454,0,-,-,-,50%
Google Ads,Degreefyd_Standard_Generic,2026-01-09,Punjab_Admissions,23443833083,632.33,2,2,0,0,316,316,0,-,-,-,0%
Google Ads,Degreefyd_Generic_Regular,2026-01-10,DSA_Punjab_Generic_Admission,23292287218,488.64,5,5,0,0,98,98,0,-,-,-,0%
Google Ads,Degreefyd_Standard_Generic,2026-01-10,Punjab_Admissions,23443833083,596.76,2,2,0,0,298,298,0,-,-,-,0%
Google Ads,Degreefyd_Standard_Generic,2026-01-10,Punjab_Engineering_Admissions,23439004530,496.47,1,1,0,0,496,496,0,-,-,-,0%
Google Ads,Degreefyd_Generic_Regular,2026-01-11,DSA_Punjab_Generic_Admission,23292287218,178.82,5,5,0,0,36,36,0,-,-,-,0%
Google Ads,Degreefyd_Standard_Generic,2026-01-11,Punjab_Admissions,23443833083,649.51,3,1,0,0,217,650,0,-,-,-,67%
Google Ads,Degreefyd_Generic_Competitor_Regular,2026-01-11,Punjab_Competitor_Uni_Punjabi,23442240654,589.76,0,0,0,0,590,590,0,-,-,-,0%
Google Ads,Degreefyd_Standard_Generic,2026-01-11,Punjab_Engineering_Admissions,23439004530,479.73,2,1,0,0,240,480,0,-,-,-,50%
Google Ads,Degreefyd_Generic_Regular,2026-01-12,DSA_Punjab_Generic_Admission,23292287218,320.77,11,8,1,0,29,40,0,320.77,-,-,27%
Google Ads,Degreefyd_Generic_Competitor_Regular,2026-01-12,Punjab_Competitor_Uni_Punjabi,23442240654,374.68,0,0,0,0,375,375,0,-,-,-,0%
