Platform,Platform Type,Account,Date,Campaign,Ad Name,Spends,Pannel_Lead
Meta,Lead Gen,University_Admit_01,2026-05-03,F_UA01_{UG All Colleges V03.1},F_UA01_{UG All Colleges 3.1} {INT 01} {C1.3},1176.32,13
Meta,Lead Gen,University_Admit_01,2026-05-03,F_UA1_FEB_MBA_Aryan v1.4,F_UA1_FEB_MBA_Aryan (INT 01)_ 1.1,2218.71,39
Meta,Lead Gen,University_Admit_01,2026-05-03,F_UA1_FEB_MBA_Aryan_April_ V2,F_UA1_FEB_MBA_Aryan_April_ V2 (INT01) C02,0.0,3
Meta,Lead Gen,University_Admit_01,2026-05-03,UA_MBA_Website_Leads V1,UA_MBA_Website_Leads V1 (INT 01) C01,1189.51,15
Meta,Lead Gen,University_Admit_01,2026-05-03,UA_MBA_Website_Leads V1,UA_MBA_Website_Leads V1 (INT 01) C02,13.73,0
Meta,Lead Gen,University_Admit_01,2026-05-03,UA_MBA_Website_Leads V1,UA_MBA_Website_Leads V1(INT 01 ) C03,0.23,0
Meta,Lead Gen,University_Admit_01,2026-05-03,UA_MBA_Website_Leads V2,UA_MBA_Website_Leads V2 (INT 01) C01,436.33,0
Meta,Lead Gen,University_Admit_01,2026-05-03,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 01) C01,71.35,0
Meta,Lead Gen,University_Admit_01,2026-05-03,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 01) C02,138.93,3
Meta,Lead Gen,University_Admit_01,2026-05-03,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 01) C03,10.45,0
Meta,Lead Gen,University_Admit_01,2026-05-03,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 02) C01,66.8,0
Meta,Lead Gen,University_Admit_01,2026-05-03,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 02) C02,291.02,9
Meta,Lead Gen,University_Admit_01,2026-05-03,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 03) C01,475.17,3
Meta,Lead Gen,University_Admit_01,2026-05-03,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 03) C02,38.93,0
Meta,Lead Gen,University_Admit_01,2026-05-03,UA_MBA_Website_Leads V3,UA_MBA_Website_Leads V3 (INT 03) C03,39.05,0
